id,nombre,horasTrabajadas,sueldo
3,Sayre,191,42050
4,Valli,171,35050
5,Laurena,212,49400
7,Ettie,164,32600
11,Karina,185,39950
12,Carey,209,48350
16,Hans,240,59200
19,Leicester,167,33650
20,Samantha,226,54300
23,Trudy,198,44500
27,Lucita,210,48700
29,Aubry,157,30480
33,Cozmo,167,33650
37,Hilario,195,43450
38,Helge,176,36800
39,Gardener,222,52900
43,Corabella,200,45200
44,Agathe,207,47650
46,Murvyn,194,43100
48,Marlena,233,56750
50,,195,43450
51,Law,209,48350
52,Stevie,238,58500
53,Taylor,239,58850
55,Blondy,195,43450
58,Brendin,176,36800
60,Cymbre,221,52550
61,Barbabra,229,55350
63,Hedda,198,44500
64,Nev,226,54300
65,Sam,233,56750
66,Morganne,194,43100
69,Crissy,195,43450
74,Lucas,182,38900
75,Kellen,206,47300
76,Ferdinande,175,36450
77,Kilian,174,36100
78,Bret,161,31550
79,Luca,164,32600
90,Dougie,214,50100
92,Alverta,155,30000
93,Marcelia,187,40650
95,Kathi,189,41350
96,Raoul,197,44150
97,Bria,165,32950
98,Currey,202,45900
103,Brit,210,48700
106,Samara,221,52550
108,Demott,196,43800
109,Odo,228,55000
112,Adoree,193,42750
113,Whittaker,232,56400
117,Sydel,187,40650
118,Jennine,229,55350
119,Tabbie,185,39950
120,June,202,45900
123,Joete,192,42400
124,Adriena,200,45200
125,Lana,178,37500
128,North,220,52200
130,Emmi,226,54300
132,Joelly,195,43450
134,Jasen,210,48700
135,Merilee,206,47300
137,Sherwood,189,41350
139,Bibbie,217,51150
141,Lettie,167,33650
143,Dorie,166,33300
148,Caryl,224,53600
149,Edlin,162,31900
150,Blake,162,31900
152,Janene,216,50800
153,Krissy,171,35050
154,Monica,235,57450
155,Janessa,194,43100
158,Odille,175,36450
160,Electra,202,45900
161,Brigit,166,33300
162,Martyn,174,36100
163,Bari,230,55700
165,Katheryn,223,53250
167,Sayer,168,34000
170,Isa,165,32950
171,Humbert,239,58850
174,Sabina,166,33300
181,Alvan,169,34350
183,Elfrida,239,58850
185,Meredith,184,39600
186,Eadmund,186,40300
187,Cazzie,222,52900
190,Ives,200,45200
192,Tedie,171,35050
197,Dorise,217,51150
199,Lorelei,191,42050
200,Pasquale,240,59200
201,Yvonne,190,41700
209,Juliet,199,44850
210,Ida,207,47650
211,Romona,216,50800
212,Beaufort,218,51500
213,Bern,155,30000
214,Joana,205,46950
215,Shay,201,45550
216,Ximenez,170,34700
217,Sydel,228,55000
219,Cyrus,225,53950
220,Gerardo,168,34000
221,Barnabas,159,30960
222,Winona,175,36450
223,Hanni,209,48350
224,Lilah,166,33300
225,Tallou,194,43100
228,Tracy,177,37150
230,Nessy,158,30720
231,Maighdiln,236,57800
232,Hadleigh,158,30720
233,Amalita,186,40300
234,Jordan,190,41700
239,Chariot,224,53600
240,Wolfgang,204,46600
242,Marje,168,34000
243,Conway,158,30720
245,Berty,194,43100
